,Survived,Age,Fare,Pclass
277,0.0,,0.0,2
278,0.0,7.0,29.125,3
279,1.0,35.0,20.25,3
280,0.0,65.0,7.75,3
281,0.0,28.0,7.8542,3
282,0.0,16.0,9.5,3
283,1.0,19.0,8.05,3
284,0.0,,26.0,1
285,0.0,33.0,8.6625,3
286,1.0,30.0,9.5,3
287,0.0,22.0,7.8958,3
288,1.0,42.0,13.0,2
289,1.0,22.0,7.75,3
290,1.0,26.0,78.85,1
291,1.0,19.0,91.0792,1
292,0.0,36.0,12.875,2
293,0.0,24.0,8.85,3
294,0.0,24.0,7.8958,3
295,0.0,,27.7208,1
296,0.0,23.5,7.2292,3
297,0.0,2.0,151.55,1
298,1.0,,30.5,1
299,1.0,50.0,247.5208,1
300,1.0,,7.75,3
301,1.0,,23.25,3
302,0.0,19.0,0.0,3
303,1.0,,12.35,2
304,0.0,,8.05,3
305,1.0,0.92,151.55,1
306,1.0,,110.8833,1
307,1.0,17.0,108.9,1
308,0.0,30.0,24.0,2
309,1.0,30.0,56.9292,1
310,1.0,24.0,83.1583,1
311,1.0,18.0,262.375,1
312,0.0,26.0,26.0,2
313,0.0,28.0,7.8958,3
314,0.0,43.0,26.25,2
315,1.0,26.0,7.8542,3
316,1.0,24.0,26.0,2
317,0.0,54.0,14.0,2
318,1.0,31.0,164.8667,1
319,1.0,40.0,134.5,1
320,0.0,22.0,7.25,3
321,0.0,27.0,7.8958,3
322,1.0,30.0,12.35,2
323,1.0,22.0,29.0,2
324,0.0,,69.55,3
325,1.0,36.0,135.6333,1
326,0.0,61.0,6.2375,3
327,1.0,36.0,13.0,2
328,1.0,31.0,20.525,3
329,1.0,16.0,57.9792,1
330,1.0,,23.25,3
331,0.0,45.5,28.5,1
332,0.0,38.0,153.4625,1
333,0.0,16.0,18.0,3
334,1.0,,133.65,1
335,0.0,,7.8958,3
336,0.0,29.0,66.6,1
337,1.0,41.0,134.5,1
338,1.0,45.0,8.05,3
339,0.0,45.0,35.5,1
340,1.0,2.0,26.0,2
341,1.0,24.0,263.0,1
342,0.0,28.0,13.0,2
343,0.0,25.0,13.0,2
344,0.0,36.0,13.0,2
345,1.0,24.0,13.0,2
346,1.0,40.0,13.0,2
347,1.0,,16.1,3
348,1.0,3.0,15.9,3
349,0.0,42.0,8.6625,3
350,0.0,23.0,9.225,3
351,0.0,,35.0,1
352,0.0,15.0,7.2292,3
353,0.0,25.0,17.8,3
354,0.0,,7.225,3
355,0.0,28.0,9.5,3
356,1.0,22.0,55.0,1
357,0.0,38.0,13.0,2
358,1.0,,7.8792,3
359,1.0,,7.8792,3
360,0.0,40.0,27.9,3
361,0.0,29.0,27.7208,2
362,0.0,45.0,14.4542,3
363,0.0,35.0,7.05,3
364,0.0,,15.5,3
365,0.0,30.0,7.25,3
366,1.0,60.0,75.25,1
367,1.0,,7.2292,3
368,1.0,,7.75,3
369,1.0,24.0,69.3,1
370,1.0,25.0,55.4417,1
371,0.0,18.0,6.4958,3
372,0.0,19.0,8.05,3
373,0.0,22.0,135.6333,1
374,0.0,3.0,21.075,3
375,1.0,,82.1708,1
376,1.0,22.0,7.25,3
377,0.0,27.0,211.5,1
378,0.0,20.0,4.0125,3
379,0.0,19.0,7.775,3
380,1.0,42.0,227.525,1
381,1.0,1.0,15.7417,3
382,0.0,32.0,7.925,3
383,1.0,35.0,52.0,1
384,0.0,,7.8958,3
385,0.0,18.0,73.5,2
386,0.0,1.0,46.9,3
387,1.0,36.0,13.0,2
388,0.0,,7.7292,3
389,1.0,17.0,12.0,2
390,1.0,36.0,120.0,1
391,1.0,21.0,7.7958,3
392,0.0,28.0,7.925,3
393,1.0,23.0,113.275,1
394,1.0,24.0,16.7,3
395,0.0,22.0,7.7958,3
396,0.0,31.0,7.8542,3
397,0.0,46.0,26.0,2
398,0.0,23.0,10.5,2
399,1.0,28.0,12.65,2
400,1.0,39.0,7.925,3
401,0.0,26.0,8.05,3
402,0.0,21.0,9.825,3
403,0.0,28.0,15.85,3
404,0.0,20.0,8.6625,3
405,0.0,34.0,21.0,2
406,0.0,51.0,7.75,3
407,1.0,3.0,18.75,2
408,0.0,21.0,7.775,3
409,0.0,,25.4667,3
410,0.0,,7.8958,3
411,0.0,,6.8583,3
412,1.0,33.0,90.0,1
413,0.0,,0.0,2
414,1.0,44.0,7.925,3
415,0.0,,8.05,3
416,1.0,34.0,32.5,2
417,1.0,18.0,13.0,2
418,0.0,30.0,13.0,2
419,0.0,10.0,24.15,3
420,0.0,,7.8958,3
421,0.0,21.0,7.7333,3
422,0.0,29.0,7.875,3
423,0.0,28.0,14.4,3
424,0.0,18.0,20.2125,3
425,0.0,,7.25,3
426,1.0,28.0,26.0,2
427,1.0,19.0,26.0,2
428,0.0,,7.75,3
429,1.0,32.0,8.05,3
430,1.0,28.0,26.55,1
431,1.0,,16.1,3
432,1.0,42.0,26.0,2
433,0.0,17.0,7.125,3
434,0.0,50.0,55.9,1
435,1.0,14.0,120.0,1
436,0.0,21.0,34.375,3
437,1.0,24.0,18.75,2
438,0.0,64.0,263.0,1
439,0.0,31.0,10.5,2
440,1.0,45.0,26.25,2
441,0.0,20.0,9.5,3
442,0.0,25.0,7.775,3
443,1.0,28.0,13.0,2
444,1.0,,8.1125,3
445,1.0,4.0,81.8583,1
446,1.0,13.0,19.5,2
447,1.0,34.0,26.55,1
448,1.0,5.0,19.2583,3
449,1.0,52.0,30.5,1
450,0.0,36.0,27.75,2
451,0.0,,19.9667,3
452,0.0,30.0,27.75,1
453,1.0,49.0,89.1042,1
454,0.0,,8.05,3
455,1.0,29.0,7.8958,3
456,0.0,65.0,26.55,1
457,1.0,,51.8625,1
458,1.0,50.0,10.5,2
459,0.0,,7.75,3
460,1.0,48.0,26.55,1
461,0.0,34.0,8.05,3
462,0.0,47.0,38.5,1
463,0.0,48.0,13.0,2
464,0.0,,8.05,3
465,0.0,38.0,7.05,3
466,0.0,,0.0,2
467,0.0,56.0,26.55,1
468,0.0,,7.725,3
469,1.0,0.75,19.2583,3
470,0.0,,7.25,3
471,0.0,38.0,8.6625,3
472,1.0,33.0,27.75,2
473,1.0,23.0,13.7917,2
474,0.0,22.0,9.8375,3
475,0.0,,52.0,1
476,0.0,34.0,21.0,2
477,0.0,29.0,7.0458,3
478,0.0,22.0,7.5208,3
479,1.0,2.0,12.2875,3
480,0.0,9.0,46.9,3
481,0.0,,0.0,2
482,0.0,50.0,8.05,3
483,1.0,63.0,9.5875,3
484,1.0,25.0,91.0792,1
485,0.0,,25.4667,3
486,1.0,35.0,90.0,1
487,0.0,58.0,29.7,1
488,0.0,30.0,8.05,3
489,1.0,9.0,15.9,3
490,0.0,,19.9667,3
491,0.0,21.0,7.25,3
492,0.0,55.0,30.5,1
493,0.0,71.0,49.5042,1
494,0.0,21.0,8.05,3
495,0.0,,14.4583,3
496,1.0,54.0,78.2667,1
497,0.0,,15.1,3
498,0.0,25.0,151.55,1
499,0.0,24.0,7.7958,3
500,0.0,17.0,8.6625,3
501,0.0,21.0,7.75,3
502,0.0,,7.6292,3
503,0.0,37.0,9.5875,3
504,1.0,16.0,86.5,1
505,0.0,18.0,108.9,1
506,1.0,33.0,26.0,2
507,1.0,,26.55,1
508,0.0,28.0,22.525,3
509,1.0,26.0,56.4958,3
510,1.0,29.0,7.75,3
511,0.0,,8.05,3
512,1.0,36.0,26.2875,1
513,1.0,54.0,59.4,1
514,0.0,24.0,7.4958,3
515,0.0,47.0,34.0208,1
516,1.0,34.0,10.5,2
517,0.0,,24.15,3
518,1.0,36.0,26.0,2
519,0.0,32.0,7.8958,3
520,1.0,30.0,93.5,1
521,0.0,22.0,7.8958,3
522,0.0,,7.225,3
523,1.0,44.0,57.9792,1
524,0.0,,7.2292,3
525,0.0,40.5,7.75,3
526,1.0,50.0,10.5,2
527,0.0,,221.7792,1
528,0.0,39.0,7.925,3
529,0.0,23.0,11.5,2
530,1.0,2.0,26.0,2
531,0.0,,7.2292,3
532,0.0,17.0,7.2292,3
533,1.0,,22.3583,3
534,0.0,30.0,8.6625,3
535,1.0,7.0,26.25,2
536,0.0,45.0,26.55,1
537,1.0,30.0,106.425,1
538,0.0,,14.5,3
539,1.0,22.0,49.5,1
540,1.0,36.0,71.0,1
541,0.0,9.0,31.275,3
542,0.0,11.0,31.275,3
543,1.0,32.0,26.0,2
544,0.0,50.0,106.425,1
545,0.0,64.0,26.0,1
546,1.0,19.0,26.0,2
547,1.0,,13.8625,2
548,0.0,33.0,20.525,3
549,1.0,8.0,36.75,2
550,1.0,17.0,110.8833,1
551,0.0,27.0,26.0,2
552,0.0,,7.8292,3
553,1.0,22.0,7.225,3
554,1.0,22.0,7.775,3
555,0.0,62.0,26.55,1
556,1.0,48.0,39.6,1
557,0.0,,227.525,1
558,1.0,39.0,79.65,1
559,1.0,36.0,17.4,3
560,0.0,,7.75,3
561,0.0,40.0,7.8958,3
562,0.0,28.0,13.5,2
563,0.0,,8.05,3
564,0.0,,8.05,3
565,0.0,24.0,24.15,3
566,0.0,19.0,7.8958,3
567,0.0,29.0,21.075,3
568,0.0,,7.2292,3
569,1.0,32.0,7.8542,3
570,1.0,62.0,10.5,2
571,1.0,53.0,51.4792,1
572,1.0,36.0,26.3875,1
573,1.0,,7.75,3
574,0.0,16.0,8.05,3
575,0.0,19.0,14.5,3
576,1.0,34.0,13.0,2
577,1.0,39.0,55.9,1
578,0.0,,14.4583,3
579,1.0,32.0,7.925,3
580,1.0,25.0,30.0,2
581,1.0,39.0,110.8833,1
582,0.0,54.0,26.0,2
583,0.0,36.0,40.125,1
584,0.0,,8.7125,3
585,1.0,18.0,79.65,1
586,0.0,47.0,15.0,2
587,1.0,60.0,79.2,1
588,0.0,22.0,8.05,3
589,0.0,,8.05,3
590,0.0,35.0,7.125,3
591,1.0,52.0,78.2667,1
592,0.0,47.0,7.25,3
593,0.0,,7.75,3
594,0.0,37.0,26.0,2
595,0.0,36.0,24.15,3
596,1.0,,33.0,2
597,0.0,49.0,0.0,3
598,0.0,,7.225,3
599,1.0,49.0,56.9292,1
600,1.0,24.0,27.0,2
601,0.0,,7.8958,3
602,0.0,,42.4,1
603,0.0,44.0,8.05,3
604,1.0,35.0,26.55,1
605,0.0,36.0,15.55,3
606,0.0,30.0,7.8958,3
607,1.0,27.0,30.5,1
608,1.0,22.0,41.5792,2
609,1.0,40.0,153.4625,1
610,0.0,39.0,31.275,3
611,0.0,,7.05,3
612,1.0,,15.5,3
613,0.0,,7.75,3
614,0.0,35.0,8.05,3
615,1.0,24.0,65.0,2
616,0.0,34.0,14.4,3
617,0.0,26.0,16.1,3
618,1.0,4.0,39.0,2
619,0.0,26.0,10.5,2
620,0.0,27.0,14.4542,3
621,1.0,42.0,52.5542,1
622,1.0,20.0,15.7417,3
623,0.0,21.0,7.8542,3
624,0.0,21.0,16.1,3
625,0.0,61.0,32.3208,1
626,0.0,57.0,12.35,2
627,1.0,21.0,77.9583,1
628,0.0,26.0,7.8958,3
629,0.0,,7.7333,3
630,1.0,80.0,30.0,1
631,0.0,51.0,7.0542,3
632,1.0,32.0,30.5,1
633,0.0,,0.0,1
634,0.0,9.0,27.9,3
635,1.0,28.0,13.0,2
636,0.0,32.0,7.925,3
637,0.0,31.0,26.25,2
638,0.0,41.0,39.6875,3
639,0.0,,16.1,3
640,0.0,20.0,7.8542,3
641,1.0,24.0,69.3,1
642,0.0,2.0,27.9,3
643,1.0,,56.4958,3
644,1.0,0.75,19.2583,3
645,1.0,48.0,76.7292,1
646,0.0,19.0,7.8958,3
647,1.0,56.0,35.5,1
648,0.0,,7.55,3
649,1.0,23.0,7.55,3
650,0.0,,7.8958,3
651,1.0,18.0,23.0,2
652,0.0,21.0,8.4333,3
653,1.0,,7.8292,3
654,0.0,18.0,6.75,3
655,0.0,24.0,73.5,2
656,0.0,,7.8958,3
657,0.0,32.0,15.5,3
658,0.0,23.0,13.0,2
659,0.0,58.0,113.275,1
660,1.0,50.0,133.65,1
661,0.0,40.0,7.225,3
662,0.0,47.0,25.5875,1
663,0.0,36.0,7.4958,3
664,1.0,20.0,7.925,3
665,0.0,32.0,73.5,2
666,0.0,25.0,13.0,2
667,0.0,,7.775,3
668,0.0,43.0,8.05,3
669,1.0,,52.0,1
670,1.0,40.0,39.0,2
671,0.0,31.0,52.0,1
672,0.0,70.0,10.5,2
673,1.0,31.0,13.0,2
674,0.0,,0.0,2
675,0.0,18.0,7.775,3
676,0.0,24.5,8.05,3
677,1.0,18.0,9.8417,3
678,0.0,43.0,46.9,3
679,1.0,36.0,512.3292,1
680,0.0,,8.1375,3
681,1.0,27.0,76.7292,1
682,0.0,20.0,9.225,3
683,0.0,14.0,46.9,3
684,0.0,60.0,39.0,2
685,0.0,25.0,41.5792,2
686,0.0,14.0,39.6875,3
687,0.0,19.0,10.1708,3
688,0.0,18.0,7.7958,3
689,1.0,15.0,211.3375,1
690,1.0,31.0,57.0,1
691,1.0,4.0,13.4167,3
692,1.0,,56.4958,3
693,0.0,25.0,7.225,3
694,0.0,60.0,26.55,1
695,0.0,52.0,13.5,2
696,0.0,44.0,8.05,3
697,1.0,,7.7333,3
698,0.0,49.0,110.8833,1
699,0.0,42.0,7.65,3
700,1.0,18.0,227.525,1
701,1.0,35.0,26.2875,1
702,0.0,18.0,14.4542,3
703,0.0,25.0,7.7417,3
704,0.0,26.0,7.8542,3
705,0.0,39.0,26.0,2
706,1.0,45.0,13.5,2
707,1.0,42.0,26.2875,1
708,1.0,22.0,151.55,1
709,1.0,,15.2458,3
710,1.0,24.0,49.5042,1
711,0.0,,26.55,1
712,1.0,48.0,52.0,1
713,0.0,29.0,9.4833,3
714,0.0,52.0,13.0,2
715,0.0,19.0,7.65,3
716,1.0,38.0,227.525,1
717,1.0,27.0,10.5,2
718,0.0,,15.5,3
719,0.0,33.0,7.775,3
720,1.0,6.0,33.0,2
721,0.0,17.0,7.0542,3
722,0.0,34.0,13.0,2
723,0.0,50.0,13.0,2
724,1.0,27.0,53.1,1
725,0.0,20.0,8.6625,3
726,1.0,30.0,21.0,2
727,1.0,,7.7375,3
728,0.0,25.0,26.0,2
729,0.0,25.0,7.925,3
730,1.0,29.0,211.3375,1
731,0.0,11.0,18.7875,3
732,0.0,,0.0,2
733,0.0,23.0,13.0,2
734,0.0,23.0,13.0,2
735,0.0,28.5,16.1,3
736,0.0,48.0,34.375,3
737,1.0,35.0,512.3292,1
738,0.0,,7.8958,3
739,0.0,,7.8958,3
740,1.0,,30.0,1
741,0.0,36.0,78.85,1
742,1.0,21.0,262.375,1
743,0.0,24.0,16.1,3
744,1.0,31.0,7.925,3
745,0.0,70.0,71.0,1
746,0.0,16.0,20.25,3
747,1.0,30.0,13.0,2
748,0.0,19.0,53.1,1
749,0.0,31.0,7.75,3
750,1.0,4.0,23.0,2
751,1.0,6.0,12.475,3
752,0.0,33.0,9.5,3
753,0.0,23.0,7.8958,3
754,1.0,48.0,65.0,2
755,1.0,0.67,14.5,2
756,0.0,28.0,7.7958,3
757,0.0,18.0,11.5,2
758,0.0,34.0,8.05,3
759,1.0,33.0,86.5,1
760,0.0,,14.5,3
761,0.0,41.0,7.125,3
762,1.0,20.0,7.2292,3
763,1.0,36.0,120.0,1
764,0.0,16.0,7.775,3
765,1.0,51.0,77.9583,1
766,0.0,,39.6,1
767,0.0,30.5,7.75,3
768,0.0,,24.15,3
769,0.0,32.0,8.3625,3
770,0.0,24.0,9.5,3
771,0.0,48.0,7.8542,3
772,0.0,57.0,10.5,2
773,0.0,,7.225,3
774,1.0,54.0,23.0,2
775,0.0,18.0,7.75,3
776,0.0,,7.75,3
777,1.0,5.0,12.475,3
778,0.0,,7.7375,3
779,1.0,43.0,211.3375,1
780,1.0,13.0,7.2292,3
781,1.0,17.0,57.0,1
782,0.0,29.0,30.0,1
783,0.0,,23.45,3
784,0.0,25.0,7.05,3
785,0.0,25.0,7.25,3
786,1.0,18.0,7.4958,3
787,0.0,8.0,29.125,3
788,1.0,1.0,20.575,3
789,0.0,46.0,79.2,1
790,0.0,,7.75,3
791,0.0,16.0,26.0,2
792,0.0,,69.55,3
793,0.0,,30.6958,1
794,0.0,25.0,7.8958,3
795,0.0,39.0,13.0,2
796,1.0,49.0,25.9292,1
797,1.0,31.0,8.6833,3
798,0.0,30.0,7.2292,3
799,0.0,30.0,24.15,3
800,0.0,34.0,13.0,2
801,1.0,31.0,26.25,2
802,1.0,11.0,120.0,1
803,1.0,0.42,8.5167,3
804,1.0,27.0,6.975,3
805,0.0,31.0,7.775,3
806,0.0,39.0,0.0,1
807,0.0,18.0,7.775,3
808,0.0,39.0,13.0,2
809,1.0,33.0,53.1,1
810,0.0,26.0,7.8875,3
811,0.0,39.0,24.15,3
812,0.0,35.0,10.5,2
813,0.0,6.0,31.275,3
814,0.0,30.5,8.05,3
815,0.0,,0.0,1
816,0.0,23.0,7.925,3
817,0.0,31.0,37.0042,2
818,0.0,43.0,6.45,3
819,0.0,10.0,27.9,3
820,1.0,52.0,93.5,1
821,1.0,27.0,8.6625,3
822,0.0,38.0,0.0,1
823,1.0,27.0,12.475,3
824,0.0,2.0,39.6875,3
825,0.0,,6.95,3
826,0.0,,56.4958,3
827,1.0,1.0,37.0042,2
828,1.0,,7.75,3
829,1.0,62.0,80.0,1
830,1.0,15.0,14.4542,3
831,1.0,0.83,18.75,2
832,0.0,,7.2292,3
833,0.0,23.0,7.8542,3
834,0.0,18.0,8.3,3
835,1.0,39.0,83.1583,1
836,0.0,21.0,8.6625,3
837,0.0,,8.05,3
838,1.0,32.0,56.4958,3
839,1.0,,29.7,1
840,0.0,20.0,7.925,3
841,0.0,16.0,10.5,2
842,1.0,30.0,31.0,1
843,0.0,34.5,6.4375,3
844,0.0,17.0,8.6625,3
845,0.0,42.0,7.55,3
846,0.0,,69.55,3
847,0.0,35.0,7.8958,3
848,0.0,28.0,33.0,2
849,1.0,,89.1042,1
850,0.0,4.0,31.275,3
851,0.0,74.0,7.775,3
852,0.0,9.0,15.2458,3
853,1.0,16.0,39.4,1
854,0.0,44.0,26.0,2
855,1.0,18.0,9.35,3
856,1.0,45.0,164.8667,1
857,1.0,51.0,26.55,1
858,1.0,24.0,19.2583,3
859,0.0,,7.2292,3
860,0.0,41.0,14.1083,3
861,0.0,21.0,11.5,2
862,1.0,48.0,25.9292,1
863,0.0,,69.55,3
864,0.0,24.0,13.0,2
865,1.0,42.0,13.0,2
866,1.0,27.0,13.8583,2
867,0.0,31.0,50.4958,1
868,0.0,,9.5,3
869,1.0,4.0,11.1333,3
870,0.0,26.0,7.8958,3
871,1.0,47.0,52.5542,1
872,0.0,33.0,5.0,1
873,0.0,47.0,9.0,3
874,1.0,28.0,24.0,2
875,1.0,15.0,7.225,3
876,0.0,20.0,9.8458,3
877,0.0,19.0,7.8958,3
878,0.0,,7.8958,3
879,1.0,56.0,83.1583,1
880,1.0,25.0,26.0,2
881,0.0,33.0,7.8958,3
882,0.0,22.0,10.5167,3
883,0.0,28.0,10.5,2
884,0.0,25.0,7.05,3
885,0.0,39.0,29.125,3
886,0.0,27.0,13.0,2
